number,type,fan_in,area_code,toll_free,in_corpus,own_complaints,call_type
+18763037295,SHADOW,1,876,No,No,0,
+18762998329,SHADOW,1,876,No,No,0,
+18158254729,SHADOW,1,815,No,No,0,
+18768410168,SHADOW,1,876,No,No,0,
+17726478817,SHADOW,1,772,No,No,0,
+18765719373,SHADOW,1,876,No,No,0,
+17175539860,SHADOW,1,717,No,No,0,
+18765714361,SHADOW,1,876,No,No,0,
+18763627479,SHADOW,1,876,No,No,0,
+17754105762,SHADOW,1,775,No,No,0,
+19037403891,SHADOW,1,903,No,No,0,
+12066667550,SHADOW,1,206,No,No,0,
+18765297981,SHADOW,1,876,No,No,0,
+17163048149,SHADOW,1,716,No,No,0,
+18669965997,SHADOW,1,866,Yes,No,0,
+18764856606,SHADOW,1,876,No,No,0,
+17084444928,SHADOW,1,708,No,No,0,
+18763564851,SHADOW,1,876,No,No,0,
+18003924190,SHADOW,1,800,Yes,No,0,
+18762773593,SHADOW,1,876,No,No,0,
+18765956313,SHADOW,1,876,No,No,0,
+15572047144,SHADOW,1,557,No,No,0,
+12094182755,SHADOW,1,209,No,No,0,
+18778335617,SHADOW,1,877,Yes,No,0,
+14122749585,SHADOW,1,412,No,No,0,
+12678314310,SHADOW,1,267,No,No,0,
+18665020430,BRIDGE,1,866,Yes,Yes,6,Scam suspicion
+12025520737,BRIDGE,1,202,No,Yes,1,Scam suspicion
+18774291900,SHADOW,1,877,Yes,No,0,
+19034392900,SHADOW,1,903,No,No,0,
+18019619999,SHADOW,1,801,No,No,0,
+18554394060,SHADOW,1,855,Yes,No,0,
+16472456157,SHADOW,1,647,No,No,0,
+16477002435,SHADOW,1,647,No,No,0,
+19785471086,BRIDGE,1,978,No,Yes,4,Scam suspicion
+15593429113,SHADOW,1,559,No,No,0,
+16802054146,BRIDGE,1,680,No,Yes,1,Unwanted
+18004838314,SHADOW,1,800,Yes,No,0,
+19789905874,SHADOW,1,978,No,No,0,
+15092508483,SHADOW,1,509,No,No,0,
+16592234283,SHADOW,1,659,No,No,0,
+18339527939,BRIDGE,1,833,Yes,Yes,9,Scam suspicion
+18667421461,SHADOW,1,866,Yes,No,0,
+14084955479,SHADOW,1,408,No,No,0,
+19372041931,SHADOW,1,937,No,No,0,
+18778058049,SHADOW,1,877,Yes,No,0,
+16208444973,BRIDGE,1,620,No,Yes,1,Scam suspicion
+12672131461,SHADOW,1,267,No,No,0,
+12192888612,SHADOW,1,219,No,No,0,
+18882291903,BRIDGE,1,888,Yes,Yes,0,Unknown
+16676536359,SHADOW,1,667,No,No,0,
+18009452000,SHADOW,1,800,Yes,No,0,
+18002788830,SHADOW,1,800,Yes,No,0,
+18888467154,SHADOW,1,888,Yes,No,0,
+12404206029,SHADOW,1,240,No,No,0,
+12673009555,SHADOW,1,267,No,No,0,
+18339290298,SHADOW,1,833,Yes,No,0,
+16072892799,SHADOW,1,607,No,No,0,
+18886956395,SHADOW,1,888,Yes,No,0,
+12042909340,SHADOW,1,204,No,No,0,
+18303650167,BRIDGE,1,830,No,Yes,1,Scam suspicion
+14244263299,SHADOW,1,424,No,No,0,
+16572307525,SHADOW,1,657,No,No,0,
+18882257045,SHADOW,1,888,Yes,No,0,
+19495918920,SHADOW,1,949,No,No,0,
+15203761270,SHADOW,1,520,No,No,0,
+18886930720,SHADOW,1,888,Yes,No,0,
+18886851179,SHADOW,1,888,Yes,No,0,
+14059826725,SHADOW,1,405,No,No,0,
+18335883806,BRIDGE,1,833,Yes,Yes,3,Scam suspicion
+19043375395,SHADOW,1,904,No,No,0,
+18555995575,SHADOW,1,855,Yes,No,0,
+18332511496,SHADOW,1,833,Yes,No,0,
+18004596415,SHADOW,1,800,Yes,No,0,
+19058593630,SHADOW,1,905,No,No,0,
+11855358535,SHADOW,1,185,No,No,0,
+18888837094,SHADOW,1,888,Yes,No,0,
+18666035032,SHADOW,1,866,Yes,No,0,
+16083716666,SHADOW,1,608,No,No,0,
+15636330051,BRIDGE,1,563,No,Yes,1,Scam suspicion
+18552166496,SHADOW,1,855,Yes,No,0,
+16199351070,SHADOW,1,619,No,No,0,
+19145306504,SHADOW,1,914,No,No,0,
+18883249086,SHADOW,1,888,Yes,No,0,
+15863290038,BRIDGE,1,586,No,Yes,1,Fax
+18887087953,SHADOW,1,888,Yes,No,0,
+19177087653,SHADOW,1,917,No,No,0,
+19173989605,SHADOW,1,917,No,No,0,
+19192462447,SHADOW,1,919,No,No,0,
+18882168029,BRIDGE,1,888,Yes,Yes,1,Unknown
+17028277268,SHADOW,1,702,No,No,0,
+18558974927,SHADOW,1,855,Yes,No,0,
+18558974967,SHADOW,1,855,Yes,No,0,
+18669590927,SHADOW,1,866,Yes,No,0,
+19592739792,BRIDGE,1,959,No,Yes,1,Text message
+19292203212,SHADOW,1,929,No,No,0,
+18668343206,SHADOW,1,866,Yes,No,0,
+18662660878,SHADOW,1,866,Yes,No,0,
+18663760276,SHADOW,1,866,Yes,No,0,
+18335942101,SHADOW,1,833,Yes,No,0,
+12675105207,BRIDGE,1,267,No,Yes,1,Scam suspicion
+19709555170,BRIDGE,1,970,No,Yes,1,Scam suspicion
+14806021219,BRIDGE,1,480,No,Yes,1,Scam suspicion
+15614120097,SHADOW,1,561,No,No,0,
+18668279833,SHADOW,1,866,Yes,No,0,
+18885790765,SHADOW,1,888,Yes,No,0,
+18663657157,SHADOW,1,866,Yes,No,0,
+18664057172,SHADOW,1,866,Yes,No,0,
+13213783832,SHADOW,1,321,No,No,0,
+19547434255,SHADOW,1,954,No,No,0,
+17705101670,SHADOW,1,770,No,No,0,
+19723317540,SHADOW,1,972,No,No,0,
+19729371672,SHADOW,1,972,No,No,0,
+18774779205,SHADOW,1,877,Yes,No,0,
+18558332034,BRIDGE,1,855,Yes,Yes,3,Scam suspicion
+18442573931,SHADOW,1,844,Yes,No,0,
+18776128332,SHADOW,1,877,Yes,No,0,
+18775853481,BRIDGE,1,877,Yes,Yes,17,Scam suspicion
+18338051321,SHADOW,1,833,Yes,No,0,
+18775183334,SHADOW,1,877,Yes,No,0,
+18774725560,SHADOW,1,877,Yes,No,0,
+18333859445,SHADOW,1,833,Yes,No,0,
+18558425860,SHADOW,1,855,Yes,No,0,
+18449398898,SHADOW,1,844,Yes,No,0,
+18559090842,SHADOW,1,855,Yes,No,0,
+14046182720,BRIDGE,1,404,No,Yes,4,Scam suspicion
+18666035075,SHADOW,1,866,Yes,No,0,
+18883621329,BRIDGE,1,888,Yes,Yes,10,Scam suspicion
+18445996996,SHADOW,1,844,Yes,No,0,
+18772713249,SHADOW,1,877,Yes,No,0,
+13072881516,SHADOW,1,307,No,No,0,
